id	scatter_idx	chrom	start	end	scatter_length
Scaffold_1__1_contigs__length_151072562	scat_0026	Scaffold_1__1_contigs__length_151072562	121832726	126706034	4873309
Scaffold_1__1_contigs__length_151072562	scat_0027	Scaffold_1__1_contigs__length_151072562	126706035	131579343	4873309
Scaffold_1__1_contigs__length_151072562	scat_0028	Scaffold_1__1_contigs__length_151072562	131579344	136452652	4873309
Scaffold_1__1_contigs__length_151072562	scat_0029	Scaffold_1__1_contigs__length_151072562	136452653	141325961	4873309
Scaffold_1__1_contigs__length_151072562	scat_0030	Scaffold_1__1_contigs__length_151072562	141325962	146199270	4873309
Scaffold_1__1_contigs__length_151072562	scat_0031	Scaffold_1__1_contigs__length_151072562	146199271	151072563	4873293
Scaffold_2__1_contigs__length_114774641	scat_0001	Scaffold_2__1_contigs__length_114774641	1	4990202	4990202
Scaffold_2__1_contigs__length_114774641	scat_0002	Scaffold_2__1_contigs__length_114774641	4990203	9980404	4990202
Scaffold_2__1_contigs__length_114774641	scat_0003	Scaffold_2__1_contigs__length_114774641	9980405	14970606	4990202
Scaffold_2__1_contigs__length_114774641	scat_0004	Scaffold_2__1_contigs__length_114774641	14970607	19960808	4990202
Scaffold_2__1_contigs__length_114774641	scat_0005	Scaffold_2__1_contigs__length_114774641	19960809	24951010	4990202
Scaffold_2__1_contigs__length_114774641	scat_0006	Scaffold_2__1_contigs__length_114774641	24951011	29941212	4990202
Scaffold_2__1_contigs__length_114774641	scat_0007	Scaffold_2__1_contigs__length_114774641	29941213	34931414	4990202
Scaffold_2__1_contigs__length_114774641	scat_0008	Scaffold_2__1_contigs__length_114774641	34931415	39921616	4990202
Scaffold_2__1_contigs__length_114774641	scat_0009	Scaffold_2__1_contigs__length_114774641	39921617	44911818	4990202
Scaffold_2__1_contigs__length_114774641	scat_0010	Scaffold_2__1_contigs__length_114774641	44911819	49902020	4990202
Scaffold_2__1_contigs__length_114774641	scat_0011	Scaffold_2__1_contigs__length_114774641	49902021	54892222	4990202
Scaffold_2__1_contigs__length_114774641	scat_0012	Scaffold_2__1_contigs__length_114774641	54892223	59882424	4990202
Scaffold_2__1_contigs__length_114774641	scat_0013	Scaffold_2__1_contigs__length_114774641	59882425	64872626	4990202
Scaffold_2__1_contigs__length_114774641	scat_0014	Scaffold_2__1_contigs__length_114774641	64872627	69862828	4990202
Scaffold_2__1_contigs__length_114774641	scat_0015	Scaffold_2__1_contigs__length_114774641	69862829	74853030	4990202
Scaffold_2__1_contigs__length_114774641	scat_0016	Scaffold_2__1_contigs__length_114774641	74853031	79843232	4990202
Scaffold_2__1_contigs__length_114774641	scat_0017	Scaffold_2__1_contigs__length_114774641	79843233	84833434	4990202
Scaffold_2__1_contigs__length_114774641	scat_0018	Scaffold_2__1_contigs__length_114774641	84833435	89823636	4990202
Scaffold_2__1_contigs__length_114774641	scat_0019	Scaffold_2__1_contigs__length_114774641	89823637	94813838	4990202
Scaffold_2__1_contigs__length_114774641	scat_0020	Scaffold_2__1_contigs__length_114774641	94813839	99804040	4990202
Scaffold_2__1_contigs__length_114774641	scat_0021	Scaffold_2__1_contigs__length_114774641	99804041	104794242	4990202
Scaffold_2__1_contigs__length_114774641	scat_0022	Scaffold_2__1_contigs__length_114774641	104794243	109784444	4990202
Scaffold_2__1_contigs__length_114774641	scat_0023	Scaffold_2__1_contigs__length_114774641	109784445	114774642	4990198
Scaffold_3__1_contigs__length_112408489	scat_0001	Scaffold_3__1_contigs__length_112408489	1	4887326	4887326
Scaffold_3__1_contigs__length_112408489	scat_0002	Scaffold_3__1_contigs__length_112408489	4887327	9774652	4887326
Scaffold_3__1_contigs__length_112408489	scat_0003	Scaffold_3__1_contigs__length_112408489	9774653	14661978	4887326
Scaffold_3__1_contigs__length_112408489	scat_0004	Scaffold_3__1_contigs__length_112408489	14661979	19549304	4887326
Scaffold_3__1_contigs__length_112408489	scat_0005	Scaffold_3__1_contigs__length_112408489	19549305	24436630	4887326
Scaffold_3__1_contigs__length_112408489	scat_0006	Scaffold_3__1_contigs__length_112408489	24436631	29323956	4887326
Scaffold_3__1_contigs__length_112408489	scat_0007	Scaffold_3__1_contigs__length_112408489	29323957	34211282	4887326
Scaffold_3__1_contigs__length_112408489	scat_0008	Scaffold_3__1_contigs__length_112408489	34211283	39098608	4887326
Scaffold_3__1_contigs__length_112408489	scat_0009	Scaffold_3__1_contigs__length_112408489	39098609	43985934	4887326
Scaffold_3__1_contigs__length_112408489	scat_0010	Scaffold_3__1_contigs__length_112408489	43985935	48873260	4887326
Scaffold_3__1_contigs__length_112408489	scat_0011	Scaffold_3__1_contigs__length_112408489	48873261	53760586	4887326
Scaffold_3__1_contigs__length_112408489	scat_0012	Scaffold_3__1_contigs__length_112408489	53760587	58647912	4887326
Scaffold_3__1_contigs__length_112408489	scat_0013	Scaffold_3__1_contigs__length_112408489	58647913	63535238	4887326
Scaffold_3__1_contigs__length_112408489	scat_0014	Scaffold_3__1_contigs__length_112408489	63535239	68422564	4887326
Scaffold_3__1_contigs__length_112408489	scat_0015	Scaffold_3__1_contigs__length_112408489	68422565	73309890	4887326
Scaffold_3__1_contigs__length_112408489	scat_0016	Scaffold_3__1_contigs__length_112408489	73309891	78197216	4887326
Scaffold_3__1_contigs__length_112408489	scat_0017	Scaffold_3__1_contigs__length_112408489	78197217	83084542	4887326
Scaffold_3__1_contigs__length_112408489	scat_0018	Scaffold_3__1_contigs__length_112408489	83084543	87971868	4887326
Scaffold_3__1_contigs__length_112408489	scat_0019	Scaffold_3__1_contigs__length_112408489	87971869	92859194	4887326
Scaffold_3__1_contigs__length_112408489	scat_0020	Scaffold_3__1_contigs__length_112408489	92859195	97746520	4887326
Scaffold_3__1_contigs__length_112408489	scat_0021	Scaffold_3__1_contigs__length_112408489	97746521	102633846	4887326
Scaffold_3__1_contigs__length_112408489	scat_0022	Scaffold_3__1_contigs__length_112408489	102633847	107521172	4887326
Scaffold_3__1_contigs__length_112408489	scat_0023	Scaffold_3__1_contigs__length_112408489	107521173	112408490	4887318
Scaffold_4__1_contigs__length_75720081	scat_0001	Scaffold_4__1_contigs__length_75720081	1	4732506	4732506
Scaffold_4__1_contigs__length_75720081	scat_0002	Scaffold_4__1_contigs__length_75720081	4732507	9465012	4732506
Scaffold_4__1_contigs__length_75720081	scat_0003	Scaffold_4__1_contigs__length_75720081	9465013	14197518	4732506
Scaffold_4__1_contigs__length_75720081	scat_0004	Scaffold_4__1_contigs__length_75720081	14197519	18930024	4732506
Scaffold_4__1_contigs__length_75720081	scat_0005	Scaffold_4__1_contigs__length_75720081	18930025	23662530	4732506
Scaffold_4__1_contigs__length_75720081	scat_0006	Scaffold_4__1_contigs__length_75720081	23662531	28395036	4732506
Scaffold_4__1_contigs__length_75720081	scat_0007	Scaffold_4__1_contigs__length_75720081	28395037	33127542	4732506
Scaffold_4__1_contigs__length_75720081	scat_0008	Scaffold_4__1_contigs__length_75720081	33127543	37860048	4732506
Scaffold_4__1_contigs__length_75720081	scat_0009	Scaffold_4__1_contigs__length_75720081	37860049	42592554	4732506
Scaffold_4__1_contigs__length_75720081	scat_0010	Scaffold_4__1_contigs__length_75720081	42592555	47325060	4732506
Scaffold_4__1_contigs__length_75720081	scat_0011	Scaffold_4__1_contigs__length_75720081	47325061	52057566	4732506
Scaffold_4__1_contigs__length_75720081	scat_0012	Scaffold_4__1_contigs__length_75720081	52057567	56790072	4732506
Scaffold_4__1_contigs__length_75720081	scat_0013	Scaffold_4__1_contigs__length_75720081	56790073	61522578	4732506
Scaffold_4__1_contigs__length_75720081	scat_0014	Scaffold_4__1_contigs__length_75720081	61522579	66255084	4732506
Scaffold_4__1_contigs__length_75720081	scat_0015	Scaffold_4__1_contigs__length_75720081	66255085	70987590	4732506
Scaffold_4__1_contigs__length_75720081	scat_0016	Scaffold_4__1_contigs__length_75720081	70987591	75720082	4732492
Scaffold_5__1_contigs__length_71959612	scat_0001	Scaffold_5__1_contigs__length_71959612	1	4797308	4797308
Scaffold_5__1_contigs__length_71959612	scat_0002	Scaffold_5__1_contigs__length_71959612	4797309	9594616	4797308
Scaffold_5__1_contigs__length_71959612	scat_0003	Scaffold_5__1_contigs__length_71959612	9594617	14391924	4797308
Scaffold_5__1_contigs__length_71959612	scat_0004	Scaffold_5__1_contigs__length_71959612	14391925	19189232	4797308
Scaffold_5__1_contigs__length_71959612	scat_0005	Scaffold_5__1_contigs__length_71959612	19189233	23986540	4797308
Scaffold_5__1_contigs__length_71959612	scat_0006	Scaffold_5__1_contigs__length_71959612	23986541	28783848	4797308
Scaffold_5__1_contigs__length_71959612	scat_0007	Scaffold_5__1_contigs__length_71959612	28783849	33581156	4797308
Scaffold_5__1_contigs__length_71959612	scat_0008	Scaffold_5__1_contigs__length_71959612	33581157	38378464	4797308
Scaffold_5__1_contigs__length_71959612	scat_0009	Scaffold_5__1_contigs__length_71959612	38378465	43175772	4797308
Scaffold_5__1_contigs__length_71959612	scat_0010	Scaffold_5__1_contigs__length_71959612	43175773	47973080	4797308
Scaffold_5__1_contigs__length_71959612	scat_0011	Scaffold_5__1_contigs__length_71959612	47973081	52770388	4797308
Scaffold_5__1_contigs__length_71959612	scat_0012	Scaffold_5__1_contigs__length_71959612	52770389	57567696	4797308
Scaffold_5__1_contigs__length_71959612	scat_0013	Scaffold_5__1_contigs__length_71959612	57567697	62365004	4797308
Scaffold_5__1_contigs__length_71959612	scat_0014	Scaffold_5__1_contigs__length_71959612	62365005	67162312	4797308
Scaffold_5__1_contigs__length_71959612	scat_0015	Scaffold_5__1_contigs__length_71959612	67162313	71959613	4797301
Scaffold_6__1_contigs__length_71876329	scat_0001	Scaffold_6__1_contigs__length_71876329	1	4791756	4791756
Scaffold_6__1_contigs__length_71876329	scat_0002	Scaffold_6__1_contigs__length_71876329	4791757	9583512	4791756
Scaffold_6__1_contigs__length_71876329	scat_0003	Scaffold_6__1_contigs__length_71876329	9583513	14375268	4791756
Scaffold_6__1_contigs__length_71876329	scat_0004	Scaffold_6__1_contigs__length_71876329	14375269	19167024	4791756
Scaffold_6__1_contigs__length_71876329	scat_0005	Scaffold_6__1_contigs__length_71876329	19167025	23958780	4791756
Scaffold_6__1_contigs__length_71876329	scat_0006	Scaffold_6__1_contigs__length_71876329	23958781	28750536	4791756
Scaffold_6__1_contigs__length_71876329	scat_0007	Scaffold_6__1_contigs__length_71876329	28750537	33542292	4791756
Scaffold_6__1_contigs__length_71876329	scat_0008	Scaffold_6__1_contigs__length_71876329	33542293	38334048	4791756
Scaffold_6__1_contigs__length_71876329	scat_0009	Scaffold_6__1_contigs__length_71876329	38334049	43125804	4791756
Scaffold_6__1_contigs__length_71876329	scat_0010	Scaffold_6__1_contigs__length_71876329	43125805	47917560	4791756
Scaffold_6__1_contigs__length_71876329	scat_0011	Scaffold_6__1_contigs__length_71876329	47917561	52709316	4791756
Scaffold_6__1_contigs__length_71876329	scat_0012	Scaffold_6__1_contigs__length_71876329	52709317	57501072	4791756
Scaffold_6__1_contigs__length_71876329	scat_0013	Scaffold_6__1_contigs__length_71876329	57501073	62292828	4791756
Scaffold_6__1_contigs__length_71876329	scat_0014	Scaffold_6__1_contigs__length_71876329	62292829	67084584	4791756
Scaffold_6__1_contigs__length_71876329	scat_0015	Scaffold_6__1_contigs__length_71876329	67084585	71876330	4791746
Scaffold_7__1_contigs__length_62267870	scat_0001	Scaffold_7__1_contigs__length_62267870	1	4789837	4789837
Scaffold_7__1_contigs__length_62267870	scat_0002	Scaffold_7__1_contigs__length_62267870	4789838	9579674	4789837
Scaffold_7__1_contigs__length_62267870	scat_0003	Scaffold_7__1_contigs__length_62267870	9579675	14369511	4789837
Scaffold_7__1_contigs__length_62267870	scat_0004	Scaffold_7__1_contigs__length_62267870	14369512	19159348	4789837
Scaffold_7__1_contigs__length_62267870	scat_0005	Scaffold_7__1_contigs__length_62267870	19159349	23949185	4789837
Scaffold_7__1_contigs__length_62267870	scat_0006	Scaffold_7__1_contigs__length_62267870	23949186	28739022	4789837
Scaffold_7__1_contigs__length_62267870	scat_0007	Scaffold_7__1_contigs__length_62267870	28739023	33528859	4789837
Scaffold_7__1_contigs__length_62267870	scat_0008	Scaffold_7__1_contigs__length_62267870	33528860	38318696	4789837
Scaffold_7__1_contigs__length_62267870	scat_0009	Scaffold_7__1_contigs__length_62267870	38318697	43108533	4789837
Scaffold_7__1_contigs__length_62267870	scat_0010	Scaffold_7__1_contigs__length_62267870	43108534	47898370	4789837
Scaffold_7__1_contigs__length_62267870	scat_0011	Scaffold_7__1_contigs__length_62267870	47898371	52688207	4789837
Scaffold_7__1_contigs__length_62267870	scat_0012	Scaffold_7__1_contigs__length_62267870	52688208	57478044	4789837
Scaffold_7__1_contigs__length_62267870	scat_0013	Scaffold_7__1_contigs__length_62267870	57478045	62267871	4789827
Scaffold_8__1_contigs__length_35685229	scat_0001	Scaffold_8__1_contigs__length_35685229	1	4460654	4460654
Scaffold_8__1_contigs__length_35685229	scat_0002	Scaffold_8__1_contigs__length_35685229	4460655	8921308	4460654
Scaffold_8__1_contigs__length_35685229	scat_0003	Scaffold_8__1_contigs__length_35685229	8921309	13381962	4460654
Scaffold_8__1_contigs__length_35685229	scat_0004	Scaffold_8__1_contigs__length_35685229	13381963	17842616	4460654
Scaffold_8__1_contigs__length_35685229	scat_0005	Scaffold_8__1_contigs__length_35685229	17842617	22303270	4460654
Scaffold_8__1_contigs__length_35685229	scat_0006	Scaffold_8__1_contigs__length_35685229	22303271	26763924	4460654
Scaffold_8__1_contigs__length_35685229	scat_0007	Scaffold_8__1_contigs__length_35685229	26763925	31224578	4460654
Scaffold_8__1_contigs__length_35685229	scat_0008	Scaffold_8__1_contigs__length_35685229	31224579	35685230	4460652
Scaffold_9__1_contigs__length_6533178	scat_0001	Scaffold_9__1_contigs__length_6533178	1	3266589	3266589
Scaffold_9__1_contigs__length_6533178	scat_0002	Scaffold_9__1_contigs__length_6533178	3266590	6533178	3266589
Scaffold_10__1_contigs__length_4747999	scat_0001	Scaffold_10__1_contigs__length_4747999	1	4747999	4747999
Scaffold_11__1_contigs__length_4700999	scat_0001	Scaffold_11__1_contigs__length_4700999	1	4700999	4700999
Scaffold_14__1_contigs__length_5954999	scat_0001	Scaffold_14__1_contigs__length_5954999	1	2977500	2977500
Scaffold_14__1_contigs__length_5954999	scat_0002	Scaffold_14__1_contigs__length_5954999	2977501	5954999	2977499
Scaffold_15__1_contigs__length_6553978	scat_0001	Scaffold_15__1_contigs__length_6553978	1	3276989	3276989
Scaffold_15__1_contigs__length_6553978	scat_0002	Scaffold_15__1_contigs__length_6553978	3276990	6553978	3276989
Scaffold_16__1_contigs__length_31385163	scat_0001	Scaffold_16__1_contigs__length_31385163	1	4483595	4483595
Scaffold_16__1_contigs__length_31385163	scat_0002	Scaffold_16__1_contigs__length_31385163	4483596	8967190	4483595
Scaffold_16__1_contigs__length_31385163	scat_0003	Scaffold_16__1_contigs__length_31385163	8967191	13450785	4483595
Scaffold_16__1_contigs__length_31385163	scat_0004	Scaffold_16__1_contigs__length_31385163	13450786	17934380	4483595
Scaffold_16__1_contigs__length_31385163	scat_0005	Scaffold_16__1_contigs__length_31385163	17934381	22417975	4483595
Scaffold_16__1_contigs__length_31385163	scat_0006	Scaffold_16__1_contigs__length_31385163	22417976	26901570	4483595
Scaffold_16__1_contigs__length_31385163	scat_0007	Scaffold_16__1_contigs__length_31385163	26901571	31385164	4483594
Scaffold_17__1_contigs__length_31071440	scat_0001	Scaffold_17__1_contigs__length_31071440	1	4438778	4438778
Scaffold_17__1_contigs__length_31071440	scat_0002	Scaffold_17__1_contigs__length_31071440	4438779	8877556	4438778
Scaffold_17__1_contigs__length_31071440	scat_0003	Scaffold_17__1_contigs__length_31071440	8877557	13316334	4438778
Scaffold_17__1_contigs__length_31071440	scat_0004	Scaffold_17__1_contigs__length_31071440	13316335	17755112	4438778
Scaffold_17__1_contigs__length_31071440	scat_0005	Scaffold_17__1_contigs__length_31071440	17755113	22193890	4438778
Scaffold_17__1_contigs__length_31071440	scat_0006	Scaffold_17__1_contigs__length_31071440	22193891	26632668	4438778
Scaffold_17__1_contigs__length_31071440	scat_0007	Scaffold_17__1_contigs__length_31071440	26632669	31071441	4438773
Scaffold_18__1_contigs__length_25274884	scat_0001	Scaffold_18__1_contigs__length_25274884	1	4212481	4212481
Scaffold_18__1_contigs__length_25274884	scat_0002	Scaffold_18__1_contigs__length_25274884	4212482	8424962	4212481
Scaffold_18__1_contigs__length_25274884	scat_0003	Scaffold_18__1_contigs__length_25274884	8424963	12637443	4212481
Scaffold_18__1_contigs__length_25274884	scat_0004	Scaffold_18__1_contigs__length_25274884	12637444	16849924	4212481
Scaffold_18__1_contigs__length_25274884	scat_0005	Scaffold_18__1_contigs__length_25274884	16849925	21062405	4212481
Scaffold_18__1_contigs__length_25274884	scat_0006	Scaffold_18__1_contigs__length_25274884	21062406	25274885	4212480
Scaffold_19__1_contigs__length_21238924	scat_0001	Scaffold_19__1_contigs__length_21238924	1	4247785	4247785
Scaffold_19__1_contigs__length_21238924	scat_0002	Scaffold_19__1_contigs__length_21238924	4247786	8495570	4247785
Scaffold_19__1_contigs__length_21238924	scat_0003	Scaffold_19__1_contigs__length_21238924	8495571	12743355	4247785
Scaffold_19__1_contigs__length_21238924	scat_0004	Scaffold_19__1_contigs__length_21238924	12743356	16991140	4247785
Scaffold_19__1_contigs__length_21238924	scat_0005	Scaffold_19__1_contigs__length_21238924	16991141	21238925	4247785
Scaffold_20__1_contigs__length_20685320	scat_0001	Scaffold_20__1_contigs__length_20685320	1	4137065	4137065
Scaffold_20__1_contigs__length_20685320	scat_0002	Scaffold_20__1_contigs__length_20685320	4137066	8274130	4137065
Scaffold_20__1_contigs__length_20685320	scat_0003	Scaffold_20__1_contigs__length_20685320	8274131	12411195	4137065
Scaffold_20__1_contigs__length_20685320	scat_0004	Scaffold_20__1_contigs__length_20685320	12411196	16548260	4137065
Scaffold_20__1_contigs__length_20685320	scat_0005	Scaffold_20__1_contigs__length_20685320	16548261	20685321	4137061
Scaffold_21__1_contigs__length_20640149	scat_0001	Scaffold_21__1_contigs__length_20640149	1	4128030	4128030
Scaffold_21__1_contigs__length_20640149	scat_0002	Scaffold_21__1_contigs__length_20640149	4128031	8256060	4128030
Scaffold_21__1_contigs__length_20640149	scat_0003	Scaffold_21__1_contigs__length_20640149	8256061	12384090	4128030
Scaffold_21__1_contigs__length_20640149	scat_0004	Scaffold_21__1_contigs__length_20640149	12384091	16512120	4128030
Scaffold_21__1_contigs__length_20640149	scat_0005	Scaffold_21__1_contigs__length_20640149	16512121	20640150	4128030
Scaffold_22__1_contigs__length_19532606	scat_0001	Scaffold_22__1_contigs__length_19532606	1	4883152	4883152
Scaffold_22__1_contigs__length_19532606	scat_0002	Scaffold_22__1_contigs__length_19532606	4883153	9766304	4883152
Scaffold_22__1_contigs__length_19532606	scat_0003	Scaffold_22__1_contigs__length_19532606	9766305	14649456	4883152
Scaffold_22__1_contigs__length_19532606	scat_0004	Scaffold_22__1_contigs__length_19532606	14649457	19532607	4883151
Scaffold_23__1_contigs__length_18116493	scat_0001	Scaffold_23__1_contigs__length_18116493	1	4529124	4529124
Scaffold_23__1_contigs__length_18116493	scat_0002	Scaffold_23__1_contigs__length_18116493	4529125	9058248	4529124
Scaffold_23__1_contigs__length_18116493	scat_0003	Scaffold_23__1_contigs__length_18116493	9058249	13587372	4529124
Scaffold_23__1_contigs__length_18116493	scat_0004	Scaffold_23__1_contigs__length_18116493	13587373	18116494	4529122
Scaffold_24__1_contigs__length_16295608	scat_0001	Scaffold_24__1_contigs__length_16295608	1	4073903	4073903
Scaffold_24__1_contigs__length_16295608	scat_0002	Scaffold_24__1_contigs__length_16295608	4073904	8147806	4073903
Scaffold_24__1_contigs__length_16295608	scat_0003	Scaffold_24__1_contigs__length_16295608	8147807	12221709	4073903
Scaffold_24__1_contigs__length_16295608	scat_0004	Scaffold_24__1_contigs__length_16295608	12221710	16295609	4073900
Scaffold_25__1_contigs__length_14943599	scat_0001	Scaffold_25__1_contigs__length_14943599	1	4981200	4981200
Scaffold_25__1_contigs__length_14943599	scat_0002	Scaffold_25__1_contigs__length_14943599	4981201	9962400	4981200
Scaffold_25__1_contigs__length_14943599	scat_0003	Scaffold_25__1_contigs__length_14943599	9962401	14943600	4981200
Scaffold_26__1_contigs__length_14031782	scat_0001	Scaffold_26__1_contigs__length_14031782	1	4677261	4677261
Scaffold_26__1_contigs__length_14031782	scat_0002	Scaffold_26__1_contigs__length_14031782	4677262	9354522	4677261
Scaffold_26__1_contigs__length_14031782	scat_0003	Scaffold_26__1_contigs__length_14031782	9354523	14031783	4677261
Scaffold_27__1_contigs__length_12364714	scat_0001	Scaffold_27__1_contigs__length_12364714	1	4121572	4121572
Scaffold_27__1_contigs__length_12364714	scat_0002	Scaffold_27__1_contigs__length_12364714	4121573	8243144	4121572
Scaffold_27__1_contigs__length_12364714	scat_0003	Scaffold_27__1_contigs__length_12364714	8243145	12364715	4121571
Scaffold_28__1_contigs__length_11240829	scat_0001	Scaffold_28__1_contigs__length_11240829	1	3746944	3746944
Scaffold_28__1_contigs__length_11240829	scat_0002	Scaffold_28__1_contigs__length_11240829	3746945	7493888	3746944
Scaffold_28__1_contigs__length_11240829	scat_0003	Scaffold_28__1_contigs__length_11240829	7493889	11240830	3746942
Scaffold_29__1_contigs__length_11217357	scat_0001	Scaffold_29__1_contigs__length_11217357	1	3739120	3739120
Scaffold_29__1_contigs__length_11217357	scat_0002	Scaffold_29__1_contigs__length_11217357	3739121	7478240	3739120
Scaffold_29__1_contigs__length_11217357	scat_0003	Scaffold_29__1_contigs__length_11217357	7478241	11217358	3739118
Scaffold_30__1_contigs__length_7941326	scat_0001	Scaffold_30__1_contigs__length_7941326	1	3970664	3970664
Scaffold_30__1_contigs__length_7941326	scat_0002	Scaffold_30__1_contigs__length_7941326	3970665	7941327	3970663
Scaffold_31__1_contigs__length_7482407	scat_0001	Scaffold_31__1_contigs__length_7482407	1	3741204	3741204
Scaffold_31__1_contigs__length_7482407	scat_0002	Scaffold_31__1_contigs__length_7482407	3741205	7482408	3741204
Scaffold_32__1_contigs__length_5435730	scat_0001	Scaffold_32__1_contigs__length_5435730	1	2717866	2717866
Scaffold_32__1_contigs__length_5435730	scat_0002	Scaffold_32__1_contigs__length_5435730	2717867	5435731	2717865
scaff_group_002	scat_0001	Scaffold_12__1_contigs__length_2025999	1	2025999	2025999
scaff_group_003	scat_0001	Scaffold_13__1_contigs__length_2412999	1	2412999	3481436
scaff_group_003	scat_0001	Scaffold_33__1_contigs__length_1068436	1	1068437	3481436
scaff_group_004	scat_0001	Scaffold_34__1_contigs__length_540211	1	540212	2483178
scaff_group_004	scat_0001	Scaffold_35__1_contigs__length_473747	1	473748	2483178
scaff_group_004	scat_0001	Scaffold_36__1_contigs__length_328236	1	328237	2483178
scaff_group_004	scat_0001	Scaffold_37__1_contigs__length_122108	1	122109	2483178
scaff_group_004	scat_0001	Scaffold_38__1_contigs__length_88005	1	88006	2483178
scaff_group_004	scat_0001	Scaffold_39__1_contigs__length_82342	1	82343	2483178
scaff_group_004	scat_0001	Scaffold_40__1_contigs__length_80182	1	80183	2483178
scaff_group_004	scat_0001	Scaffold_41__1_contigs__length_72752	1	72753	2483178
scaff_group_004	scat_0001	Scaffold_42__1_contigs__length_72702	1	72703	2483178
scaff_group_004	scat_0001	Scaffold_43__1_contigs__length_72670	1	72671	2483178
scaff_group_004	scat_0001	Scaffold_44__1_contigs__length_69604	1	69605	2483178
scaff_group_004	scat_0001	Scaffold_45__1_contigs__length_65579	1	65580	2483178
scaff_group_004	scat_0001	Scaffold_46__1_contigs__length_59806	1	59807	2483178
scaff_group_004	scat_0001	Scaffold_47__1_contigs__length_49459	1	49460	2483178
scaff_group_004	scat_0001	Scaffold_48__1_contigs__length_49440	1	49441	2483178
scaff_group_004	scat_0001	Scaffold_49__1_contigs__length_49304	1	49305	2483178
scaff_group_004	scat_0001	Scaffold_50__1_contigs__length_45604	1	45605	2483178
scaff_group_004	scat_0001	Scaffold_51__1_contigs__length_41917	1	41918	2483178
scaff_group_004	scat_0001	Scaffold_52__1_contigs__length_41914	1	41915	2483178
scaff_group_004	scat_0001	Scaffold_53__1_contigs__length_39933	1	39934	2483178
scaff_group_004	scat_0001	Scaffold_54__1_contigs__length_37642	1	37643	2483178
scaff_group_005	scat_0001	Scaffold_55__1_contigs__length_36716	1	36717	1999099
scaff_group_005	scat_0001	Scaffold_56__1_contigs__length_36313	1	36314	1999099
scaff_group_005	scat_0001	Scaffold_57__1_contigs__length_36312	1	36313	1999099
scaff_group_005	scat_0001	Scaffold_58__1_contigs__length_36054	1	36055	1999099
scaff_group_005	scat_0001	Scaffold_59__1_contigs__length_35593	1	35594	1999099
